Protein,True_Label,Predicted_Label,Confidence,Index,is_negative_control
Q7UZ45,1.B.5,1.B.16,0.53608155,728,True
D3SLU1,1.B.5,1.B.16,0.5451346,735,True
C8VYW2,1.B.50,1.B.50,0.999995,738,False
Q44881,1.B.51,1.B.51,0.9999919,741,False
B8F2P1,1.B.52,1.B.52,0.99998164,743,False
P03663,1.B.53,1.B.53,0.9999925,746,False
E8RCF8,1.B.60,1.B.60,0.9999944,749,True
Q2IPL5,1.B.60,1.B.60,0.99999297,754,True
Q1DFS2,1.B.61,1.B.61,0.99999976,763,True
Q72DY0,1.B.61,1.B.61,0.99999666,764,True
B3EDW4,1.B.62,1.B.62,0.9999976,765,True
Q07KZ2,1.B.62,1.B.62,0.99999714,772,True
C0L0K3,1.B.63,1.B.63,0.9999701,774,False
B2RL31,1.B.63,1.B.63,0.992597,779,False
E4ZB76,1.B.65,1.B.65,0.99998236,786,False
F9EV82,1.B.65,1.B.65,0.9999968,788,False
B1KQV8,1.B.68,1.B.68,0.99999547,791,True
E9AYM1,1.B.69,1.B.69,0.7966879,795,True
L8H2D6,1.B.69,1.B.69,0.93416756,796,True
A0BTG7,1.B.69,1.B.69,0.87790215,800,True
P95467,1.B.7,1.B.7,0.9999881,808,True
P39767,1.B.7,1.B.7,0.9999856,809,True
D5RG91,1.B.70,1.B.70,0.9999924,817,True
B2FIM5,1.B.70,1.B.70,0.9999943,820,True
Q2K0Q0,1.B.70,1.B.70,0.999992,827,True
Q21E86,1.B.73,1.B.73,0.9999964,833,True
E4T302,1.B.73,1.B.73,0.9999895,836,True
I0A8J9,1.B.75,1.B.75,0.9999932,837,False
H6L3E7,1.B.75,1.B.75,0.999212,844,False
Q7U678,1.B.75,1.B.75,0.99999654,846,False
G9EQG6,1.B.76,1.B.76,0.9999988,851,False
P36649,1.B.76,1.B.76,0.6296544,854,False
Q9RST8,1.B.77,1.B.77,0.9999863,862,False
R1E3Q5,1.B.77,1.B.77,0.99999225,867,False
W7TBY2,1.B.77,1.B.77,0.99892896,868,False
A5G7L3,1.B.78,1.B.78,0.99999034,873,True
L1L857,1.B.79,1.B.79,0.99393636,875,False
L7WDA1,1.B.81,1.B.81,0.9999925,876,True
L7W843,1.B.81,1.B.81,0.9999943,886,True
WP_020562207,1.B.81,1.B.81,0.9999949,889,True
F8GDI1,1.B.81,1.B.81,0.9999932,891,True
Q9M903,1.B.82,1.B.82,0.99998033,894,False
OGR70538,1.B.84,1.B.84,0.9999914,903,False
NLW31479,1.B.84,1.B.84,0.9476715,904,False
Q2Y889,1.B.85,1.B.85,0.9999982,908,False
S2XLX4,1.B.85,1.B.85,0.9999943,909,False
CBA75730,1.B.92,1.B.92,0.9999912,917,True
WP_132308094,1.B.92,1.B.92,0.99999046,918,True
WP_133936143,1.B.95,1.B.95,0.9999871,921,True
NBO10119,1.B.95,1.B.95,0.9999914,931,True
WP_013181544,1.B.95,1.B.95,0.9266816,932,True
WP_105313043,1.B.95,1.B.95,0.99999535,937,True
T0RLN6,1.C.10,1.C.10,0.99999774,940,False
OQR89906,1.C.10,1.C.10,0.9998123,941,False
Q5DMU5,1.C.100,1.C.100,0.999995,946,False
NP_042687,1.C.101,1.C.101,0.99999225,951,False
C6SS71,1.C.102,1.C.26,0.9915372,954,True
XP_007676645,1.C.104,1.C.104,0.99999785,957,True
PMD25525,1.C.104,1.C.104,0.99996257,959,True
KIM99385,1.C.104,1.C.104,0.909531,962,True
B2LWZ0,1.C.106,1.C.106,0.99998164,971,False
Q51449,1.C.106,1.C.106,0.99999774,973,False
P81605,1.C.108,1.C.108,0.9999944,975,False
H2NHK4,1.C.108,1.C.108,0.9999963,976,False
Q06803,1.C.109,1.C.109,0.9999809,981,False
Q0PAS9,1.C.109,1.C.109,0.99998,983,False
P55117,1.C.11,1.C.11,0.99999714,987,True
P15377,1.C.11,1.C.11,0.99999714,988,True
P04637,1.C.110,1.C.110,0.99999917,996,False
O09049,1.C.111,1.C.111,0.9999975,999,False
C3UZX8,1.C.111,1.C.111,0.9999808,1004,False
E3TDI9,1.C.111,1.C.111,0.9999949,1005,False
Q27J51,1.C.111,1.C.111,0.99999833,1006,False
P54176,1.C.113,1.C.113,0.99999356,1017,False
W7FB61,1.C.113,1.C.113,0.99959725,1023,False
Q15546,1.C.113,1.C.113,0.99999475,1029,False
P82818,1.C.114,1.C.114,0.99999726,1032,False
P24492,1.C.115,1.C.115,0.999995,1037,False
U4UHJ7,1.C.115,1.C.115,0.9995946,1038,False
O42717,1.C.119,1.C.119,0.9999969,1043,True
P83467,1.C.119,1.C.119,0.9998367,1044,True
P04347,1.C.121,9.A.57,0.22755323,1050,False
Q56CZ9,1.C.122,1.C.122,0.9986965,1052,False
C5J888,1.C.124,1.C.124,0.9999962,1056,True
P82427,1.C.124,1.C.124,0.99999094,1057,True
Q54318,1.C.126,1.C.126,0.99999654,1059,True
AAZ49241,1.C.129,1.C.129,0.9999839,1064,False
P14608,1.C.13,1.C.13,0.99998784,1066,True
B7PSG2,1.C.13,1.C.13,0.9999919,1070,True
P64453,1.C.130,1.C.130,0.9999962,1072,False
CAA2615643,1.C.132,1.C.132,0.99999917,1077,True
WP_168566867,1.C.132,1.C.132,0.99999654,1082,True
WP_241450605,1.C.136,1.C.136,0.9997594,1084,False
Q1ELT9,1.C.138,1.C.138,0.9999714,1087,False
P19247,1.C.14,1.C.14,0.99998283,1091,True
WP_047703972,1.C.14,1.C.14,0.99835914,1094,True
P01504,1.C.18,1.C.18,0.9812183,1097,True
P28311,1.C.19,1.C.19,0.999998,1103,True
P82270,1.C.19,1.C.19,0.99926096,1104,True
Q8KZL7,1.C.2,1.C.2,0.99997663,1110,False
AWG87247,1.C.2,1.C.2,0.9996112,1117,False
WP_132821133,1.C.2,1.C.2,0.9999907,1118,False
P56955,1.C.2,1.C.2,0.99997663,1125,False
P19578,1.C.20,1.C.20,0.99993145,1132,False
WWQ01948,1.C.20,1.C.20,0.99998355,1134,False
P29430,1.C.24,1.C.24,0.99999,1135,True
P35618,1.C.24,1.C.24,0.99999547,1136,True
P38580,1.C.24,1.C.24,0.9999956,1141,True
WP_080375718,1.C.24,1.C.24,0.99999166,1150,True
WP_098856434,1.C.26,1.C.26,0.9845271,1153,True
Q83TS1,1.C.31,1.C.31,0.9999844,1156,True
P33046,1.C.33,1.C.33,0.99999785,1159,False
P15175,1.C.33,1.C.33,0.9999788,1161,False
Q61903,1.C.33,1.C.33,0.9999927,1164,False
WP_133014295,1.C.37,1.C.37,0.9999949,1174,False
WP_086461906,1.C.37,1.C.37,0.9999964,1175,False
WP_142504358,1.C.37,1.C.37,0.9999963,1181,False
A9S8W4,1.C.38,1.C.38,0.9999976,1188,False
B9W5G6,1.C.38,1.C.38,0.9999814,1189,False
Q5UCA8,1.C.38,1.C.38,0.9999771,1197,False
P07845,1.C.38,1.C.38,0.9999777,1198,False
P18428,1.C.40,1.C.40,0.99999833,1201,False
P11597,1.C.40,1.C.40,0.99999833,1207,False
Q46221,1.C.42,1.C.42,0.9999995,1211,False
F8V2N8,1.C.42,1.C.42,0.9999999,1212,False
P08943,1.C.44,1.C.44,0.99939394,1216,False
Q78AW6,1.C.46,1.C.46,0.99999726,1219,False
Q9BLJ3,1.C.47,1.C.47,0.99999356,1226,True
P81610,1.C.47,1.C.47,0.9998621,1227,True
I1T3C7,1.C.47,1.C.47,0.9999932,1231,True
F6LCB3,1.C.47,1.C.47,0.9999292,1237,True
P04156,1.C.48,1.C.48,0.99999726,1240,False
P06881,1.C.49,1.C.49,0.99660885,1244,False
Q02307,1.C.5,1.C.5,0.9966654,1245,True
Q57028,1.C.5,1.C.5,0.97963136,1248,True
T2MFP9,1.C.50,1.C.50,0.99998987,1255,True
Q07932,1.C.51,1.C.51,0.9999982,1256,False
P69178,1.C.54,1.C.54,0.9999863,1257,False
P0A3W8,1.C.55,1.C.55,0.999998,1258,False
P35674,1.C.56,1.C.56,0.9999614,1259,True
O69194,1.C.61,1.C.61,0.9999943,1263,False
L0CMD2,1.C.62,1.C.62,0.9999981,1270,True
Q02989,1.C.63,1.C.63,0.9999634,1272,True
Q9RLG7,1.C.64,1.C.64,0.9999913,1274,False
EPU65115,1.C.64,1.C.64,0.99999404,1276,False
EMB84096,1.C.64,1.C.64,0.99999154,1277,False
Q8XPT2,1.C.65,1.C.65,0.99999464,1289,True
P33432,1.C.66,1.C.66,0.9999981,1293,False
C4M9N5,1.C.67,1.C.67,0.9999763,1295,False
P83250,1.C.68,1.C.68,0.9999988,1297,False
P00587,1.C.7,1.C.7,0.99999654,1298,False
WP_062552397,1.C.70,1.C.70,0.99998164,1306,True
Q04470,1.C.71,1.C.71,0.9999871,1308,False
A5N971,1.C.71,1.C.71,0.9999621,1310,False
P60305,1.C.74,1.C.74,0.7370254,1315,True
P01382,1.C.74,1.C.74,0.758879,1321,True
WP_052259317,1.C.75,1.C.75,0.99999726,1324,True
WP_002261253,1.C.75,1.C.75,0.99999964,1326,True
P37840,1.C.77,1.C.77,0.99999106,1331,False
A7IZR5,1.C.78,1.C.78,0.8417091,1337,True
Q00496,1.C.8,1.C.8,0.9999981,1340,False
B7LAC5,1.C.80,1.C.80,0.9999857,1345,False
AYO99540,1.C.81,1.C.81,0.9997265,1347,False
Q9NS71,1.C.81,1.C.81,0.9999933,1354,False
Q9Y287,1.C.81,1.C.81,0.99999726,1355,False
WP_078474522,1.C.82,1.C.82,0.99997854,1359,False
Q9ZGP5,1.C.83,1.C.83,0.99875796,1361,True
F9P995,1.C.84,1.C.84,0.99967206,1363,True
P01210,1.C.89,1.C.89,0.99999213,1365,False
P55981,1.C.9,1.C.9,0.99999595,1367,False
Q0SUX0,1.C.90,1.C.90,0.9999887,1375,True
A5MY21,1.C.90,1.C.90,0.99999344,1378,True
P04080,1.C.91,1.C.91,0.9999907,1379,False
P02743,1.C.92,1.C.92,0.9999435,1381,False
A4UVR2,1.C.93,1.C.93,0.99999964,1383,False
WP_010524429,1.C.95,1.C.95,0.9999918,1389,False
WP_105368002,1.C.95,1.C.95,0.99999106,1392,False
WP_006059095,1.C.95,1.C.95,0.99999154,1395,False
YP_009724396,1.C.99,1.C.99,0.9999945,1400,False
AAX16199,1.C.99,1.C.99,0.9999949,1402,False
XP_004616922,1.D.118,1.D.118,0.99968386,1407,False
XP_045930465,1.D.194,1.D.194,0.9999926,1411,False
WP_069068278,1.D.24,1.D.24,0.9999908,1415,False
PKK88897,1.D.24,1.D.24,0.99998903,1417,False
P27360,1.E.1,1.E.1,0.99999833,1420,True
B1XBH4,1.E.1,1.E.1,0.9999981,1423,True
C0LT20,1.E.10,1.E.10,0.8457667,1430,True
C3WD05,1.E.14,1.E.14,0.9999975,1435,False
E7UC95,1.E.14,1.E.14,0.9999988,1441,False
C1CVJ8,1.E.14,1.E.14,0.99999785,1443,False
C9RFW8,1.E.14,1.E.14,0.9999989,1450,False
B6D7J1,1.E.16,1.E.10,0.75785094,1454,True
Q44828,1.E.17,1.E.17,0.9999733,1457,False
C0API8,1.E.17,1.E.17,0.9999727,1459,False
Q9G047,1.E.18,1.E.18,0.99999213,1466,False
F1TVG1,1.E.18,1.E.18,0.9999368,1470,False
WP_298535700,1.E.18,1.E.18,0.9998012,1476,False
Q9S583,1.E.20,1.E.20,0.99999094,1477,True
PIN93264,1.E.20,1.E.20,0.99997485,1481,True
Q37975,1.E.21,1.E.21,0.9999926,1487,True
B1S807,1.E.21,1.E.21,0.99998903,1488,True
P39603,1.E.23,1.E.23,0.99998593,1489,False
I0JPG6,1.E.23,1.E.23,0.99997044,1494,False
A2RJJ3,1.E.24,1.E.24,0.9999957,1499,False
E7MNX8,1.E.24,1.E.24,0.9999963,1501,False
Q5QF60,1.E.25,1.E.25,0.9999976,1503,True
Q54418,1.E.25,1.E.25,0.99999404,1509,True
WP_039294245,1.E.25,1.E.25,0.9999871,1511,True
A8FGN0,1.E.27,1.E.27,0.99998343,1516,False
J8N861,1.E.27,1.E.27,0.9999964,1521,False
A3QSC5,1.E.29,1.E.29,0.99999654,1524,True
D5T0T5,1.E.29,1.E.29,0.99998724,1530,True
A5D089,1.E.29,1.E.29,0.9999889,1533,True
G2HDC3,1.E.33,1.E.33,0.99999106,1541,False
E5Y2I3,1.E.33,1.E.33,0.9999975,1542,False
Q47424,1.E.4,1.E.4,0.99998784,1546,True
Q03BM3,1.E.42,1.E.42,0.99999356,1552,False
QDX55601,1.E.42,1.E.42,0.999998,1556,False
WP_081276159,1.E.44,1.E.44,0.99999225,1559,False
W7Wfe7,1.E.50,1.E.50,0.99997044,1562,True
D4L5L5,1.E.52,1.E.52,0.9999927,1564,False
C4FBP7,1.E.52,1.C.81,0.046190448,1565,False
P37305,1.E.53,1.E.53,0.9999887,1570,False
P13970,1.E.53,1.E.53,0.9999633,1579,False
E9U5S4,1.E.53,1.E.53,0.9999924,1580,False
K7PKN9,1.E.56,1.E.56,0.9999963,1583,False
H2BD74,1.E.56,1.E.56,0.99999547,1587,False
C1DBL0,1.E.56,1.E.56,0.99999475,1588,False
P03802,1.E.6,1.E.6,0.9999875,1593,True
I7EWD2,1.E.6,1.E.6,0.9999857,1601,True
YP_009798665,1.E.6,1.E.6,0.9999893,1604,True
A9C1R0,1.E.6,1.E.6,0.999995,1607,True
WP_080520514,1.E.61,1.E.61,0.9999912,1612,False
QDH50315,1.E.62,1.E.62,0.99999106,1613,False
TEB06505,1.E.62,1.E.62,0.99998164,1617,False
WP_022583979,1.E.65,1.E.65,0.9998412,1623,False
WP_221178964,1.E.65,1.E.65,0.9999975,1627,False
P51727,1.E.7,1.E.7,0.9999924,1628,True
WP_077419983,1.E.7,1.E.7,0.9999931,1631,True
WP_184711133,1.E.7,1.E.7,0.9999964,1636,True
MDI6753459,1.E.71,1.E.71,0.9999685,1643,False
P06808,1.E.8,1.E.8,0.99998975,1644,False
AZU98589,1.E.8,1.E.8,0.999995,1649,False
P08986,1.E.9,1.E.9,0.9999975,1650,False
C0BVR9,1.E.9,1.E.9,0.99999356,1653,False
Q8KCM5,1.E.9,1.E.9,0.99999726,1660,False
Q84097,1.G.1,1.G.1,0.999997,1663,True
Q8JN88,1.G.1,1.G.1,0.999997,1665,True
Q05320,1.G.12,1.G.12,0.9999987,1671,True
BAS18865,1.G.14,1.G.14,0.99998355,1675,True
H6SW53,1.G.15,1.G.15,0.99999523,1679,False
P04578,1.G.16,1.G.16,0.9999591,1683,False
P25190,1.G.18,1.G.18,0.99999416,1685,False
AGP04934,1.G.18,1.G.18,0.9999939,1688,False
P03420,1.G.2,1.G.2,0.99997675,1693,False
Q9QEW7,1.G.2,1.G.2,0.9999758,1695,False
P08668,1.G.20,1.G.20,0.9999882,1701,False
J4FBX9,1.G.20,1.G.20,0.99999046,1703,False
Q993G6,1.G.21,1.G.21,0.9999896,1709,False
P03315,1.G.4,1.G.4,0.99999905,1711,False
G0LWX4,1.G.4,1.G.4,0.99734193,1716,False
U5TZY3,1.G.5,1.G.5,0.99999595,1718,False
A7XED7,1.G.6,1.G.6,0.99999154,1721,False
P09991,1.G.8,1.G.8,0.9999888,1722,False
NP_775596,1.G.9,1.G.9,0.99999666,1729,True
M4HM10,1.G.9,1.G.9,0.9999956,1735,True
B6EFE0,1.J.1,1.J.1,0.99987125,1738,False
P03649,1.K.3,1.K.3,0.9999987,1742,False
Q03169,1.L.1,1.L.1,0.9999716,1744,False
DAZ31467,1.M.7,1.M.7,0.99999464,1748,True
WP_230060965,1.M.7,1.M.7,0.999995,1750,True
F4JP36,1.N.3,1.N.3,0.9999981,1753,False
Q22C76,1.N.3,1.N.3,0.999997,1755,False
G5EBM0,1.N.4,1.N.4,0.9999974,1761,False
OAP09968,1.N.5,1.N.5,0.99999845,1769,False
Q6DD88,1.N.5,1.N.5,0.99999905,1771,False
O00291,1.N.7,1.N.7,0.99999833,1772,False
q7z7g8,1.R.2,1.R.2,0.9999528,1776,False
A1Z713,1.R.2,1.R.2,0.9999887,1777,False
WP_068749265,1.S.1,1.S.1,0.9993374,1782,True
PZO17530,1.S.1,1.S.1,0.99999475,1784,True
Q31RK3,1.S.1,1.S.1,0.9998087,1786,True
Q5JEV9,1.S.11,1.S.11,0.99999416,1792,False
AAD39019,1.S.2,8.A.180,0.09988516,1798,True
Q31QW7,1.S.3,1.S.3,0.9999974,1799,False
4OLP_A,1.S.4,1.S.4,0.99997926,1802,False
P41792,1.S.5,1.S.5,0.99978906,1804,False
Q1D3Y8,1.S.7,1.S.7,0.99999917,1805,True
V5SGX5,1.S.8,1.S.8,0.9999938,1811,False
WP_005866925,1.W.1,1.W.1,0.99997985,1814,True
WP_149357188,1.W.1,1.W.1,0.9999951,1815,True
HCE08097,1.W.10,1.W.10,0.9999914,1823,True
WP_010699123,1.W.10,1.W.10,0.9999918,1824,True
AXP07702,1.W.10,1.W.10,0.99999917,1831,True
P25480,1.W.3,1.W.3,0.99999976,1832,True
WP_008881966,1.W.3,1.W.3,0.9999982,1835,True
WP_155320278,1.W.3,1.W.3,0.99975294,1846,True
XP_020558010,1.W.4,1.W.4,0.999987,1849,False
WP_140461085,1.W.4,1.W.4,0.99999297,1851,False
P03710,1.W.5,1.W.5,0.9999958,1853,True
ERI79391,1.W.5,1.W.5,0.99999714,1857,True
YP_009283032,1.W.8,1.W.8,0.99984586,1863,True
AWD93009,1.W.8,1.W.8,0.9999951,1864,True
ASJ79155,1.W.9,1.W.9,0.9999932,1880,True
